Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source,Purpose Description,Source Description,Importer Country Name,Exporter Country Name
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,RW,,,13.6,specimens,ml,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,II,Balearica regulorum,Aves,Gruiformes,Gruidae,Balearica,US,RW,,,500.0,specimens,g,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,II,Balearica regulorum,Aves,Gruiformes,Gruidae,Balearica,ZA,RW,,,2000.0,specimens,g,S,W,Scientific,Specimens taken from the wild.,South Africa,Rwanda
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,CZ,RW,,,52.0,specimens,g,S,W,Scientific,Specimens taken from the wild.,Czech Republic,Rwanda
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,CZ,RW,,,24.0,specimens,g,S,W,Scientific,Specimens taken from the wild.,Czech Republic,Rwanda
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,KE,RW,,,0.5,specimens,ml,S,W,Scientific,Specimens taken from the wild.,Kenya,Rwanda
2017,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,KE,RW,,,0.5,specimens,ml,S,W,Scientific,Specimens taken from the wild.,Kenya,Rwanda
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,KE,RW,,,0.5,specimens,ml,S,W,Scientific,Specimens taken from the wild.,Kenya,Rwanda
2017,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,KE,RW,,,0.25,specimens,ml,S,W,Scientific,Specimens taken from the wild.,Kenya,Rwanda
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,KE,RW,,,0.25,specimens,ml,S,W,Scientific,Specimens taken from the wild.,Kenya,Rwanda
2017,II,Busarellus nigricollis,Aves,Falconiformes,Accipitridae,Busarellus,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Buteo magnirostris,Aves,Falconiformes,Accipitridae,Buteo,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Leucopternis kuhli,Aves,Falconiformes,Accipitridae,Leucopternis,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Micrastur gilvicollis,Aves,Falconiformes,Falconidae,Micrastur,US,PE,,,3.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
